INFO 2023-11-05 09:46:03,128 autoreload Watching for file changes with StatReloader
DEBUG 2023-11-05 09:46:03,128 autoreload Waiting for apps ready_event.
DEBUG 2023-11-05 09:46:05,262 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-11-05 09:46:05,282 autoreload Watching dir /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/rest_framework/templates with glob **/*.
DEBUG 2023-11-05 09:46:05,282 autoreload Watching dir /Users/jkky/Desktop/git/semose/locale with glob **/*.mo.
DEBUG 2023-11-05 09:46:05,282 autoreload Watching dir /Users/jkky/Desktop/git/semose/api/locale with glob **/*.mo.
DEBUG 2023-11-05 09:46:05,283 autoreload Watching dir /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2023-11-05 09:46:05,283 autoreload Watching dir /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2023-11-05 09:46:05,373 utils (0.002) 
                SELECT VERSION(),
                       @@sql_mode,
                       @@default_storage_engine,
                       @@sql_auto_is_null,
                       @@lower_case_table_names,
                       CONVERT_TZ('2001-01-01 01:00:00', 'UTC', 'UTC') IS NOT NULL
            ; args=None; alias=default
DEBUG 2023-11-05 09:46:05,374 utils (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None; alias=default
DEBUG 2023-11-05 09:46:05,381 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/files/storage/handler.py first seen with mtime 1698832925.6607018
DEBUG 2023-11-05 09:46:05,381 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/io/excel/_base.py first seen with mtime 1688741985.1269321
DEBUG 2023-11-05 09:46:05,381 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/django/core/checks/security/__init__.py first seen with mtime 1698832925.6607018
DEBUG 2023-11-05 09:46:05,381 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/mysql/__init__.py first seen with mtime 1686439380.508521
DEBUG 2023-11-05 09:46:05,381 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/_config/dates.py first seen with mtime 1688741984.0908782
DEBUG 2023-11-05 09:46:05,381 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pytz/lazy.py first seen with mtime 1693930440.2691224
DEBUG 2023-11-05 09:46:05,381 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/numpy/polynomial/laguerre.py first seen with mtime 1687809060.0924866
DEBUG 2023-11-05 09:46:05,381 autoreload File /opt/homebrew/Caskroom/miniforge/base/envs/semose3.8/lib/python3.8/site-packages/pandas/_libs/hashtable.cpython-38-darwin.so first seen with mtime 1688742032.134507
